source_debit_note_number,dest_tenant,source_tenant,purchase_issue_id,ucode,batch,return_quantity,pre_purchase_issue_id
P0417-25A0000051,th429,th417,26033,I06525,MC2502,1,23710
P0417-25A0000051,th429,th417,26203,057415,CFH2M002,2,22444
P0417-25A0000051,th429,th417,26221,242778,05240305,1,24005
P0417-25A0000051,th429,th417,26222,156730,25441210,1,24013
P0417-25A0000053,th429,th417,26475,065286,354K016,4,23135
P0417-25A0000054,th214,th417,25646,I31767,753391D7,1,23274
P0417-25A0000054,th214,th417,26087,192782,D65Y001,2,23804
P0417-25A0000054,th214,th417,26088,P47917,ZAEI2424,1,23968
P0417-25A0000054,th214,th417,26091,M05653,GTF3513A,3,23999
P0417-25A0000054,th214,th417,26305,122425,SIF2851A,2,23959
P0417-25A0000055,th214,th417,26611,183162,CSC0010,1,23998
P0417-25A0000055,th214,th417,26660,091295,THRTAT502,2,24238
P0417-25A0000055,th214,th417,26661,017740,AVA25002,1,24239
P0417-25A0000056,th429,th417,26526,I00375,4NG597,1,24068
P0417-25A0000056,th429,th417,26578,168645,HO134003BH,1,24285
P0417-25A0000056,th429,th417,26578,168645,HO134003BH,2,24285
DR0417-25A000150,th435,th417,26580,058550,N2500591,1,24060
DR0417-25A000150,th435,th417,26588,I01177,GPD0825003BH,1,24147
DR0417-25A000150,th435,th417,26595,263269,18251594A,1,24240
P0413-25A0000263,th429,th413,45843,067855,EQ5172,1,37042
P0413-25A0000263,th429,th413,45858,S04683,4346C59911,1,37076
