db_name,assigned_bin,original_quantity,total_return_quantity,new_quantity,update_purchase_return_inventory_query
th401,PR3-R1-S1-005,25,1,26,"UPDATE th401.purchase_return_inventory SET updated_on = NOW(), quantity = 26 WHERE bin = 'PR3-R1-S1-005' AND quantity = 25;"
th402,PR2-R01-S01-051,124,1,125,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 125 WHERE bin = 'PR2-R01-S01-051' AND quantity = 124;"
th402,PR2-R01-S01-052,5,1,6,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 6 WHERE bin = 'PR2-R01-S01-052' AND quantity = 5;"
th402,PR2-R01-S01-054,139,1,140,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 140 WHERE bin = 'PR2-R01-S01-054' AND quantity = 139;"
th402,PR2-R01-S01-063,2,8,10,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 10 WHERE bin = 'PR2-R01-S01-063' AND quantity = 2;"
th402,PR2-R01-S01-072,5,2,7,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 7 WHERE bin = 'PR2-R01-S01-072' AND quantity = 5;"
th402,PR2-R01-S01-102,2,1,3,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 3 WHERE bin = 'PR2-R01-S01-102' AND quantity = 2;"
th402,PR2-R01-S01-125,4,1,5,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 5 WHERE bin = 'PR2-R01-S01-125' AND quantity = 4;"
th402,PR2-R01-S01-131,18,12,30,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 30 WHERE bin = 'PR2-R01-S01-131' AND quantity = 18;"
th402,PR2-R01-S01-147,1,1,2,"UPDATE th402.purchase_return_inventory SET updated_on = NOW(), quantity = 2 WHERE bin = 'PR2-R01-S01-147' AND quantity = 1;"
th205,PR1-R01-S01-061,0,1,1,"UPDATE th205.purchase_return_inventory SET updated_on = NOW(), quantity = 1 WHERE bin = 'PR1-R01-S01-061' AND quantity = 0;"
th406,PR1-R01-S01-023,10,1,11,"UPDATE th406.purchase_return_inventory SET updated_on = NOW(), quantity = 11 WHERE bin = 'PR1-R01-S01-023' AND quantity = 10;"
th406,PR1-R01-S01-025,1,1,2,"UPDATE th406.purchase_return_inventory SET updated_on = NOW(), quantity = 2 WHERE bin = 'PR1-R01-S01-025' AND quantity = 1;"
th214,PR0-R00-S00-518,3,25,28,"UPDATE th214.purchase_return_inventory SET updated_on = NOW(), quantity = 28 WHERE bin = 'PR0-R00-S00-518' AND quantity = 3;"
th429,PR0-R00-S00-262,893,1,894,"UPDATE th429.purchase_return_inventory SET updated_on = NOW(), quantity = 894 WHERE bin = 'PR0-R00-S00-262' AND quantity = 893;"
th405,PR1-R01-S01-010,54,1,55,"UPDATE th405.purchase_return_inventory SET updated_on = NOW(), quantity = 55 WHERE bin = 'PR1-R01-S01-010' AND quantity = 54;"
th418,PR0-R00-S00-020,215,1,216,"UPDATE th418.purchase_return_inventory SET updated_on = NOW(), quantity = 216 WHERE bin = 'PR0-R00-S00-020' AND quantity = 215;"
